ay,school_id,program_code,program_name
24-25,513,SB,SB: Spanish Biliteracy
24-25,859,AF,AF: SDC - Mild/Mod Autism Focus
24-25,859,ED,ED: SDC - SOAR
24-25,859,GE,GE: General Education
24-25,832,AO,AO: SDC - Auditory/Oral
24-25,832,GE,GE: General Education
24-25,832,MM,MM: SDC - Mild to Moderate
24-25,832,TC,TC: SDC - Total Communication
24-25,997,GE,GE: General Education
24-25,997,MM,MM: SDC - Mild to Moderate
24-25,997,MS,MS: SDC - Extensive Services
24-25,862,CB,CB: Cantonese Biliteracy
24-25,862,GE,GE: General Education
24-25,867,CB,CB: Cantonese Biliteracy
24-25,867,GE,GE: General Education
24-25,868,GE,GE: General Education
24-25,868,MM,MM: SDC - Mild to Moderate
24-25,868,MS,MS: SDC - Extensive Services
24-25,868,NX,NX: Newcomer Program
24-25,868,SA,SA: SDC - Extensive Services Autism Focus
24-25,785,CA,SDC Transition Program (CAT)
24-25,785,GE,GE: General Education
24-25,785,MM,MM: SDC - Mild to Moderate
24-25,571,ED,ED: SDC - SOAR
24-25,571,GE,GE: General Education
